Intersection,Latitude,Longitude,District,County,AnnualEst,logAnnualEst,PopT,WalkComT,HseHldT,PrincArt,MinorArt,Collector,Int4way,SchoolsT,Signal,MaxSlope,EmpSF_T,EmpT,StMetersT,StSegT
Mandela Parkway & 14th Street,37.8107633,-122.2913285,4,Alameda,170269,12.04513482,327.2579855,10.42414567,129.6381582,0,1,0,1,0,1,0.0102,30000,145,11780.87982,157
Webster Street & Atlantic Avenue,37.7797229,-122.276457,4,Alameda,1331197,14.1015891,364.3899129,6.424219758,131.4212901,2,0,0,1,0,1,0.0024,133750,153,9749.679505,163
Hillegrass Avenue & Ashby Avenue,37.8567208,-122.2555046,4,Alameda,594100,13.29480294,465.3600532,23.41330597,216.844849,1,0,0,1,0,0,0.026,651250,350,10158.15864,129
Whitman Street & Tennyson Road,37.6350714,-122.0617203,4,Alameda,596883,13.29947639,233.5871435,0,75.25670705,1,0,0,1,0,0,0.0127,1250,2,9080.90085,126
Newark Boulevard & Jarivis Street,37.5504293,-122.0494484,4,Alameda,151240,11.92662326,198.1010027,1.25279589,68.77423162,1,1,0,1,0,1,0.0034,475000,526,9669.154866,104
Telegraph Avenue & Ashby Avenue,37.856192,-122.2596161,4,Alameda,1193215,13.9921619,385.912463,12.71670458,191.1804503,1,0,0,1,0,1,0.0234,421250,509,9753.653263,119
College Avenue & Derby Street,37.8621145,-122.2535514,4,Alameda,1655583,14.31966377,791.0742148,154.8118563,266.8891331,0,1,0,0,0,0,0.036,35000,99,9153.127619,100
Milvia Street & Hearst Avenue,37.8736106,-122.2709039,4,Alameda,838753,13.63967155,732.5243544,178.0555871,360.4941697,0,1,0,1,0,1,0.0378,176250,608,10794.28451,118
San Pablo Boulevard & Virginia Street,37.8734627,-122.2934645,4,Alameda,325895,12.69433053,347.8138977,15.97747654,164.1821308,1,0,0,1,0,0,0.0242,75000,307,10881.61,115
Broadway & Calhoun Street,37.7567267,-122.2439077,4,Alameda,94414,11.45544466,479.7345078,9.344212147,223.2018275,1,0,0,1,0,0,0.0109,2500,5,8577.816743,84
Hesperian Boulevard & Lewelling Boulevard,37.686722,-122.1299406,4,Alameda,320217,12.67675417,314.3822793,0.847453977,99.75416754,2,0,0,1,0,1,0.0091,237500,274,11227.24684,179
Mission Boulevard & Grove Way,37.6801554,-122.0939814,4,Alameda,109128,11.60027679,285.8460098,0.170129569,107.7246638,1,0,1,0,0,0,0.0123,108750,137,8086.924202,66
Redwood Road & Castro Valley Boulevard,37.6955013,-122.0739765,4,Alameda,472968,13.06678301,278.5169469,4.509871434,106.1509643,1,1,0,1,0,0,0.0122,406250,667,9114.334297,130
Scarlett Drive & Dublin Boulevard,37.705924,-121.9044591,4,Alameda,105289,11.56446424,86.23001565,0.895451287,29.97917049,1,0,0,0,0,1,0.0049,47500,272,3877.373059,36
Hacienda Avenue & Dublin Boulevard,37.706344,-121.8881701,4,Alameda,92754,11.43770612,218.8546104,1.976632692,86.69602926,1,1,0,1,0,1,0.007,78750,155,6121.63368,61
5th Street & Central Avenue,37.7715773,-122.2824119,4,Alameda,344104,12.74869922,534.8373626,3.420647478,234.2775336,0,0,1,1,1,0,0.006,5000,67,7165.011395,70
Christie Avenue & Powell Street,37.8384154,-122.2946627,4,Alameda,364675,12.80676183,305.7868895,30.38245672,181.0845028,0,1,0,1,0,1,0.0068,343750,577,9594.426582,112
San Pablo Avenue & 40th Street,37.8309868,-122.2797937,4,Alameda,1523913,14.23679193,267.4921634,7.118224082,149.9235005,1,0,0,1,0,1,0.0108,278750,671,12181.12714,182
Fremont Boulevard & Mowry Boulevard,37.5486062,-121.988477,4,Alameda,1008719,13.82419177,312.7906455,4.391096063,114.138854,2,0,0,1,0,1,0.0031,395000,542,7098.62554,86
Fremont Boulevard & Peralta Boulevard,37.5581225,-122.0067948,4,Alameda,280790,12.54536234,218.5624421,4.589338462,104.041544,1,1,0,1,0,0,0.0119,170000,302,9428.002532,119
